Product Name,Status,SKU,Color,Size,Selling Price (EGP),Cost Per Piece (EGP),Variant ID
Brown Leather Jogger Sneakers,draft,#N/A,,41,995,,6a413a6bb34d18a098670c15
Brown Leather Jogger Sneakers,draft,#N/A,,42,995,,6a413a6cb34d18a098670c16
Brown Leather Jogger Sneakers,draft,#N/A,,43,995,,6a413a6cb34d18a098670c17
Brown Leather Jogger Sneakers,draft,#N/A,,44,995,,6a413a6cb34d18a098670c18
Brown Leather Jogger Sneakers,draft,#N/A,,45,995,,6a413a6db34d18a098670c1a
Havan Brogue,draft,#N/A,havan,41,1100,,6a413a73b34d18a098670c1d
Havan Brogue,draft,#N/A,havan,42,1100,,6a413a73b34d18a098670c1e
Havan Brogue,draft,#N/A,havan,43,1100,,6a413a74b34d18a098670c1f
Havan Brogue,draft,#N/A,havan,44,1100,,6a413a74b34d18a098670c20
Havan Brogue,draft,#N/A,havan,45,1100,,6a413a74b34d18a098670c22
Bundle Women Sandal,draft,#N/A,black,36,645,,6a413a97b34d18a098670c80
Bundle Women Sandal,draft,#N/A,black,37,645,,6a413a97b34d18a098670c81
Bundle Women Sandal,draft,#N/A,black,38,645,,6a413a98b34d18a098670c82
Bundle Women Sandal,draft,#N/A,black,39,645,,6a413a98b34d18a098670c83
Bundle Women Sandal,draft,#N/A,black,40,645,,6a413a99b34d18a098670c84
Bundle Women Sandal,draft,#N/A,black,41,645,,6a413a99b34d18a098670c85
Chunky Chelsea Bootss - Upsell,draft,0,Brown,40,2790,,6a413aabb34d18a098670cb5
Chunky Chelsea Bootss - Upsell,draft,0,Black,40,2790,,6a413aabb34d18a098670cb6
Chunky Chelsea Bootss - Upsell,draft,0,havan,40,2790,,6a413aacb34d18a098670cb7
Chunky Chelsea Bootss - Upsell,draft,0,Brown,41,2790,,6a413aacb34d18a098670cb8
Chunky Chelsea Bootss - Upsell,draft,0,Black,41,2790,,6a413aadb34d18a098670cba
Chunky Chelsea Bootss - Upsell,draft,0,havan,41,2790,,6a413aadb34d18a098670cbb
Chunky Chelsea Bootss - Upsell,draft,0,Brown,42,2790,,6a413aaeb34d18a098670cbc
Chunky Chelsea Bootss - Upsell,draft,0,Black,42,2790,,6a413aaeb34d18a098670cbd
Chunky Chelsea Bootss - Upsell,draft,0,havan,42,2790,,6a413aaeb34d18a098670cbe
Chunky Chelsea Bootss - Upsell,draft,0,Brown,43,2790,,6a413aafb34d18a098670cbf
Chunky Chelsea Bootss - Upsell,draft,0,Black,43,2790,,6a413aafb34d18a098670cc0
Chunky Chelsea Bootss - Upsell,draft,0,havan,43,2790,,6a413ab0b34d18a098670cc1
